Begin,End,Label,Type,Speaker
0.51,0.7,um,words,014133
0.7,1.0,þetta,words,014133
1.0,1.08,er,words,014133
1.08,1.47,fjallað,words,014133
1.47,1.53,í,words,014133
1.53,1.94,svari,words,014133
1.94,2.03,við,words,014133
2.03,2.74,spurningunni,words,014133
3.05,3.39,hverjir,words,014133
3.39,3.73,tóku,words,014133
3.73,4.0,þátt,words,014133
4.0,4.08,í,words,014133
4.08,4.37,fyrri,words,014133
4.37,5.1,heimsstyrjöldinni,words,014133
0.51,0.6,ʏ,phones,014133
0.6,0.7,m,phones,014133
0.7,0.71,θ,phones,014133
0.71,0.81,ɛ,phones,014133
0.81,0.89,h,phones,014133
0.89,0.94,t,phones,014133
0.94,1.0,a,phones,014133
1.0,1.04,ɛː,phones,014133
1.04,1.08,r,phones,014133
1.08,1.11,f,phones,014133
1.11,1.16,j,phones,014133
1.16,1.28,a,phones,014133
1.28,1.33,t,phones,014133
1.33,1.37,l,phones,014133
1.37,1.4,a,phones,014133
1.4,1.47,ð,phones,014133
1.47,1.53,iː,phones,014133
1.53,1.65,s,phones,014133
1.65,1.67,v,phones,014133
1.67,1.86,aː,phones,014133
1.86,1.87,r,phones,014133
1.87,1.94,ɪ,phones,014133
1.94,1.96,v,phones,014133
1.96,2.02,ɪː,phones,014133
2.02,2.03,ð,phones,014133
2.03,2.14,s,phones,014133
2.14,2.18,p,phones,014133
2.18,2.28,ʏ,phones,014133
2.28,2.32,r,phones,014133
2.32,2.35,t,phones,014133
2.35,2.38,n,phones,014133
2.38,2.42,i,phones,014133
2.42,2.45,ŋ,phones,014133
2.45,2.5,k,phones,014133
2.5,2.57,ʏ,phones,014133
2.57,2.62,n,phones,014133
2.62,2.74,ɪ,phones,014133
3.05,3.12,k,phones,014133
3.12,3.14,v,phones,014133
3.14,3.23,ɛ,phones,014133
3.23,3.24,r,phones,014133
3.24,3.32,j,phones,014133
3.32,3.35,ɪ,phones,014133
3.35,3.39,r,phones,014133
3.39,3.44,tʰ,phones,014133
3.44,3.57,ouː,phones,014133
3.57,3.62,k,phones,014133
3.62,3.73,ʏ,phones,014133
3.73,3.74,θ,phones,014133
3.74,3.84,au,phones,014133
3.84,3.95,h,phones,014133
3.95,4.0,t,phones,014133
4.0,4.08,iː,phones,014133
4.08,4.16,f,phones,014133
4.16,4.25,ɪ,phones,014133
4.25,4.26,r,phones,014133
4.26,4.37,ɪ,phones,014133
4.37,4.45,h,phones,014133
4.45,4.51,ei,phones,014133
4.51,4.56,m,phones,014133
4.56,4.64,s,phones,014133
4.64,4.68,t,phones,014133
4.68,4.74,ɪ,phones,014133
4.74,4.75,r,phones,014133
4.75,4.78,j,phones,014133
4.78,4.81,œ,phones,014133
4.81,4.88,l,phones,014133
4.88,4.93,t,phones,014133
4.93,4.97,ɪ,phones,014133
4.97,5.05,n,phones,014133
5.05,5.1,ɪ,phones,014133
