Begin,End,Label,Type,Speaker
0.34,0.62,eruð,words,028275
0.62,0.72,þið,words,028275
0.72,0.82,með,words,028275
0.82,1.17,stærri,words,028275
1.17,1.52,stærð,words,028275
0.34,0.5,ɛː,phones,028275
0.5,0.51,r,phones,028275
0.51,0.61,ʏ,phones,028275
0.61,0.62,ð,phones,028275
0.62,0.63,θ,phones,028275
0.63,0.71,ɪː,phones,028275
0.71,0.72,ð,phones,028275
0.72,0.78,m,phones,028275
0.78,0.81,ɛː,phones,028275
0.81,0.82,ð,phones,028275
0.82,0.9,s,phones,028275
0.9,0.97,t,phones,028275
0.97,1.08,ai,phones,028275
1.08,1.09,r,phones,028275
1.09,1.17,ɪ,phones,028275
1.17,1.25,s,phones,028275
1.25,1.32,t,phones,028275
1.32,1.43,ai,phones,028275
1.43,1.51,r,phones,028275
1.51,1.52,ð,phones,028275
