Begin,End,Label,Type,Speaker
0.75,0.93,af,words,016559
0.93,1.4,hverju,words,016559
1.4,1.48,er,words,016559
1.48,1.76,hægt,words,016559
1.76,1.8,að,words,016559
1.8,2.42,fullyrða,words,016559
2.42,2.77,þetta,words,016559
0.75,0.9,aː,phones,016559
0.9,0.93,v,phones,016559
0.93,1.14,k,phones,016559
1.14,1.16,v,phones,016559
1.16,1.25,ɛ,phones,016559
1.25,1.26,r,phones,016559
1.26,1.37,j,phones,016559
1.37,1.4,ʏ,phones,016559
1.4,1.44,ɛː,phones,016559
1.44,1.48,r,phones,016559
1.48,1.55,h,phones,016559
1.55,1.61,ai,phones,016559
1.61,1.71,x,phones,016559
1.71,1.76,t,phones,016559
1.76,1.79,aː,phones,016559
1.79,1.8,ð,phones,016559
1.8,1.92,f,phones,016559
1.92,1.99,ʏ,phones,016559
1.99,2.07,t,phones,016559
2.07,2.11,l,phones,016559
2.11,2.16,ɪ,phones,016559
2.16,2.17,r,phones,016559
2.17,2.27,ð,phones,016559
2.27,2.42,a,phones,016559
2.42,2.43,θ,phones,016559
2.43,2.49,ɛ,phones,016559
2.49,2.6,h,phones,016559
2.6,2.65,t,phones,016559
2.65,2.77,a,phones,016559
